"02/01/07","06/01/07","0.00","0.00"
"08/01/07","12/01/07","66.65","66.65"
"15/01/07","19/01/07","66.65","133.30"
"22/01/07","26/01/07","66.65","199.95"
"29/01/07","02/02/07","0.00","199.95"
"05/02/07","09/02/07","0.00","199.95"
"12/02/07","16/02/07","0.00","199.95"
"19/02/07","23/02/07","0.00","199.95"
"26/02/07","02/03/07","0.00","199.95"
"05/03/07","09/03/07","0.00","199.95"
"12/03/07","16/03/07","0.00","199.95"
"19/03/07","23/03/07","0.00","199.95"
"26/03/07","30/03/07","0.00","199.95"
"02/04/07","06/04/07","0.00","199.95"
"09/04/07","13/04/07","0.00","199.95"
"16/04/07","20/04/07","0.00","199.95"
"23/04/07","27/04/07","0.00","199.95"
"30/04/07","04/05/07","0.00","199.95"
"07/05/07","11/05/07","0.00","199.95"
"14/05/07","18/05/07","0.00","199.95"
"21/05/07","25/05/07","0.00","199.95"
"28/05/07","01/06/07","0.00","199.95"
"04/06/07","08/06/07","0.00","199.95"
"11/06/07","15/06/07","0.00","199.95"
"18/06/07","22/06/07","0.00","199.95"
"25/06/07","29/06/07","0.00","199.95"
"02/07/07","06/07/07","0.00","199.95"
"09/07/07","13/07/07","0.00","199.95"
"16/07/07","20/07/07","0.00","199.95"
"23/07/07","27/07/07","0.00","199.95"
