"08/01/07","08/01/07","0.00","0.00"
"09/01/07","09/01/07","0.00","0.00"
"10/01/07","10/01/07","0.00","0.00"
"11/01/07","11/01/07","-285.71","-285.71"
"12/01/07","12/01/07","-285.71","-571.42"
"15/01/07","15/01/07","-285.71","-857.13"
"16/01/07","16/01/07","-285.71","-1142.84"
"17/01/07","17/01/07","-285.71","-1428.55"
"18/01/07","18/01/07","-285.71","-1714.26"
"19/01/07","19/01/07","-285.71","-1999.97"
"22/01/07","22/01/07","0.00","-1999.97"
"23/01/07","23/01/07","0.00","-1999.97"
"24/01/07","24/01/07","0.00","-1999.97"
"25/01/07","25/01/07","0.00","-1999.97"
"26/01/07","26/01/07","0.00","-1999.97"
"29/01/07","29/01/07","0.00","-1999.97"
"30/01/07","30/01/07","0.00","-1999.97"
"31/01/07","31/01/07","0.00","-1999.97"
"01/02/07","01/02/07","0.00","-1999.97"
"02/02/07","02/02/07","0.00","-1999.97"
"05/02/07","05/02/07","0.00","-1999.97"
"06/02/07","06/02/07","0.00","-1999.97"
"07/02/07","07/02/07","0.00","-1999.97"
"08/02/07","08/02/07","0.00","-1999.97"
"09/02/07","09/02/07","0.00","-1999.97"
"12/02/07","12/02/07","0.00","-1999.97"
"13/02/07","13/02/07","0.00","-1999.97"
"14/02/07","14/02/07","0.00","-1999.97"
"15/02/07","15/02/07","0.00","-1999.97"
"16/02/07","16/02/07","0.00","-1999.97"
"19/02/07","19/02/07","0.00","-1999.97"
"20/02/07","20/02/07","0.00","-1999.97"
"21/02/07","21/02/07","0.00","-1999.97"
"22/02/07","22/02/07","0.00","-1999.97"
"23/02/07","23/02/07","0.00","-1999.97"
"26/02/07","26/02/07","0.00","-1999.97"
"27/02/07","27/02/07","0.00","-1999.97"
"28/02/07","28/02/07","0.00","-1999.97"
"01/03/07","01/03/07","0.00","-1999.97"
"02/03/07","02/03/07","0.00","-1999.97"
"05/03/07","05/03/07","0.00","-1999.97"
"06/03/07","06/03/07","0.00","-1999.97"
"07/03/07","07/03/07","0.00","-1999.97"
"08/03/07","08/03/07","0.00","-1999.97"
"09/03/07","09/03/07","0.00","-1999.97"
"12/03/07","12/03/07","0.00","-1999.97"
