"P";"PHASES";"";
"I";"INTERVENANTS";"";
"T";"TRIS";"";
"R";"RESSOURCES";"";
"C5";"Désignation 5";"";
"C6";"Désignation 6";"";
"C7";"Désignation 7";"";
"C8";"Désignation 8";"";
"P";"";"";"";"PHASES";
"P";"01";"";"";"Passation Marchés Préparation";
"P";"02";"";"";"Exécution des Travaux";
"I";"";"";"";"INTERVENANTS";
"I";"01";"";"";"Maîtrise d'ouvrage & maîtrise d'oeuvre";
"I";"02";"";"";"Ensemble entreprises Tous Corps d' Etat";
"I";"03";"";"";"Lot n° 01 - Gros-oeuvre";
"I";"04";"";"";"Lot n° 02 - Charpente bois - Ossature bois";
"I";"05";"";"";"Lot n° 03 - Etanchéité";
"I";"06";"";"";"Lot n° 04 - Charpente Métal";
"I";"07";"";"";"Lot n° 05 - Enduit de facade, isolation";
"I";"08";"";"";"Lot n° 06 - Menuiseries extérieures, vitrerie";
"I";"09";"";"";"Lot n° 07 - Menuiseries intérieures";
"I";"10";"";"";"Lot n° 08 - Cloisons doublages plafonds isolation";
"I";"11";"";"";"Lot n° 09 - Revêtement sols souples";
"I";"12";"";"";"Lot n° 10 - Revêtement se sols durs, faïences";
"I";"13";"";"";"Lot n° 11 - Peinture, miroiterie, signalétique";
"I";"14";"";"";"Lot n° 12 - Serrurerie, métallerie";
"I";"15";"";"";"Lot n° 13 - Chauffage, ventilation plomberie";
"I";"16";"";"";"Lot n° 14 - Electricité courants Forts";
"I";"17";"";"";"Lot n° 15 - Courants faibles";
"I";"18";"";"";"Lot n° 16 - Ascenseur";
"I";"19";"";"";"Lot n° 17 - Equipement de cuisine";
"I";"20";"";"";"Lot n° 18 - Voirie & réseaux divers";
"T";"";"";"";"TRIS";
"T";"01";"";"";"ENSEMBLE du PROJET";
"T";"02";"";"";"Zone 2 et 3 - Ensemble HEBERGEMENT";
"T";"03";"";"";"Zone 1 - LOGISTIQUE & RESTAURATION";
"T";"04";"";"";"Zone 3 - HEBERGEMENT ALZHEIMER";
"T";"05";"";"";"Zone 2 - HEBERGEMENT Unités 1& 2";
"R";"";"";"";"RESSOURCES";
"C5";"";"";"";"Désignation 5";
"C6";"";"";"";"Désignation 6";
"C7";"";"";"";"Désignation 7";
"C8";"";"";"";"Désignation 8";
