"08/01/07","08/01/07","0.00","0.00"
"09/01/07","09/01/07","750.00","750.00"
"10/01/07","10/01/07","750.00","1500.00"
"11/01/07","11/01/07","0.00","1500.00"
"12/01/07","12/01/07","0.00","1500.00"
"15/01/07","15/01/07","0.00","1500.00"
"16/01/07","16/01/07","0.00","1500.00"
"17/01/07","17/01/07","0.00","1500.00"
"18/01/07","18/01/07","0.00","1500.00"
"19/01/07","19/01/07","0.00","1500.00"
"22/01/07","22/01/07","0.00","1500.00"
"23/01/07","23/01/07","0.00","1500.00"
"24/01/07","24/01/07","0.00","1500.00"
"25/01/07","25/01/07","0.00","1500.00"
"26/01/07","26/01/07","2500.00","4000.00"
"29/01/07","29/01/07","2500.00","6500.00"
"30/01/07","30/01/07","0.00","6500.00"
"31/01/07","31/01/07","0.00","6500.00"
"01/02/07","01/02/07","0.00","6500.00"
"02/02/07","02/02/07","0.00","6500.00"
"05/02/07","05/02/07","0.00","6500.00"
"06/02/07","06/02/07","0.00","6500.00"
"07/02/07","07/02/07","0.00","6500.00"
"08/02/07","08/02/07","0.00","6500.00"
"09/02/07","09/02/07","0.00","6500.00"
"12/02/07","12/02/07","0.00","6500.00"
"13/02/07","13/02/07","0.00","6500.00"
"14/02/07","14/02/07","0.00","6500.00"
"15/02/07","15/02/07","0.00","6500.00"
"16/02/07","16/02/07","0.00","6500.00"
"19/02/07","19/02/07","0.00","6500.00"
"20/02/07","20/02/07","0.00","6500.00"
"21/02/07","21/02/07","0.00","6500.00"
"22/02/07","22/02/07","0.00","6500.00"
"23/02/07","23/02/07","0.00","6500.00"
"26/02/07","26/02/07","0.00","6500.00"
"27/02/07","27/02/07","0.00","6500.00"
"28/02/07","28/02/07","0.00","6500.00"
"01/03/07","01/03/07","0.00","6500.00"
"02/03/07","02/03/07","0.00","6500.00"
"05/03/07","05/03/07","0.00","6500.00"
"06/03/07","06/03/07","0.00","6500.00"
"07/03/07","07/03/07","0.00","6500.00"
"08/03/07","08/03/07","0.00","6500.00"
"09/03/07","09/03/07","0.00","6500.00"
"12/03/07","12/03/07","0.00","6500.00"
